D:\finding-lanes\training_data\IMG\center_2020_04_02_16_12_50_461.jpg, D:\finding-lanes\training_data\IMG\left_2020_04_02_16_12_50_461.jpg, D:\finding-lanes\training_data\IMG\right_2020_04_02_16_12_50_461.jpg, -0.2255133, 1, 0, 30.18069
D:\finding-lanes\training_data\IMG\center_2020_04_02_16_12_50_564.jpg, D:\finding-lanes\training_data\IMG\left_2020_04_02_16_12_50_564.jpg, D:\finding-lanes\training_data\IMG\right_2020_04_02_16_12_50_564.jpg, 0, 1, 0, 30.18896
D:\finding-lanes\training_data\IMG\center_2020_04_02_16_12_50_667.jpg, D:\finding-lanes\training_data\IMG\left_2020_04_02_16_12_50_667.jpg, D:\finding-lanes\training_data\IMG\right_2020_04_02_16_12_50_667.jpg, -0.07736894, 1, 0, 30.18971
D:\finding-lanes\training_data\IMG\center_2020_04_02_16_12_50_767.jpg, D:\finding-lanes\training_data\IMG\left_2020_04_02_16_12_50_767.jpg, D:\finding-lanes\training_data\IMG\right_2020_04_02_16_12_50_767.jpg, -0.09590163, 1, 0, 30.19059
D:\finding-lanes\training_data\IMG\center_2020_04_02_16_12_50_867.jpg, D:\finding-lanes\training_data\IMG\left_2020_04_02_16_12_50_867.jpg, D:\finding-lanes\training_data\IMG\right_2020_04_02_16_12_50_867.jpg, 0, 1, 0, 30.19001
D:\finding-lanes\training_data\IMG\center_2020_04_02_16_12_50_968.jpg, D:\finding-lanes\training_data\IMG\left_2020_04_02_16_12_50_968.jpg, D:\finding-lanes\training_data\IMG\right_2020_04_02_16_12_50_968.jpg, 0, 1, 0, 30.19027
D:\finding-lanes\training_data\IMG\center_2020_04_02_16_12_51_068.jpg, D:\finding-lanes\training_data\IMG\left_2020_04_02_16_12_51_068.jpg, D:\finding-lanes\training_data\IMG\right_2020_04_02_16_12_51_068.jpg, -0.1033282, 1, 0, 30.18806
D:\finding-lanes\training_data\IMG\center_2020_04_02_16_12_51_171.jpg, D:\finding-lanes\training_data\IMG\left_2020_04_02_16_12_51_171.jpg, D:\finding-lanes\training_data\IMG\right_2020_04_02_16_12_51_171.jpg, -0.3084633, 1, 0, 30.17097
D:\finding-lanes\training_data\IMG\center_2020_04_02_16_12_51_272.jpg, D:\finding-lanes\training_data\IMG\left_2020_04_02_16_12_51_272.jpg, D:\finding-lanes\training_data\IMG\right_2020_04_02_16_12_51_272.jpg, -0.01353745, 1, 0, 30.18954
D:\finding-lanes\training_data\IMG\center_2020_04_02_16_12_51_376.jpg, D:\finding-lanes\training_data\IMG\left_2020_04_02_16_12_51_376.jpg, D:\finding-lanes\training_data\IMG\right_2020_04_02_16_12_51_376.jpg, 0, 1, 0, 30.18995
